cnty,obs,GRRT_WB,CRISIS
_BHS,1973,7.56756756756754,0
_BHS,1974,-16.7542293284605,0
_BHS,1975,-14.8031242608039,0
_BHS,1976,5.18518518518517,0
_BHS,1977,9.154929577464801,0
_BHS,1978,14.1795186535764,0
_BHS,1979,26.139295954376,0
_BHS,1980,6.49528036600348,0
_BHS,1981,-9.226405267008049,0
_BHS,1982,6.69889854501385,0
_BHS,1983,3.59705135951663,0
_BHS,1984,14.171150691221,0
_BHS,1985,4.82918007662835,0
_BHS,1986,1.79699996764182,0
_BHS,1987,2.98451888361477,1
_BHS,1988,2.30970830912259,0
_BHS,1989,2.30014699190018,0
_BHS,1990,1.10340268606367,0
_BHS,1991,-2.70436796385461,0
_BHS,1992,-1.99647487556459,0
_BHS,1993,1.90037431615318,0
_BHS,1994,.29669850240181,0
_BHS,1995,.299999999999983,0
_BHS,1996,4.19999999999972,0
_BHS,1997,3.3000000000003,0
_BHS,1998,2.9999999999998,0
_BHS,1999,5.3000000000004,0
_BHS,2000,4.49382716049342,0
_BHS,2001,,0
_BIH,1960,,
_BIH,1961,,
_BIH,1962,,
_BIH,1963,,
_BIH,1964,,
_BIH,1965,,
_BIH,1966,,
_BIH,1967,,
_BIH,1968,,
_BIH,1969,,
_BIH,1970,,
_BIH,1971,,
_BIH,1972,,
_BIH,1973,,
_BIH,1974,,
_BIH,1975,,
_BIH,1976,,
_BIH,1977,,
_BIH,1978,,
_BIH,1979,,
_BIH,1980,,
_BIH,1981,,
_BIH,1982,,
_BIH,1983,,
_BIH,1984,,
_BIH,1985,,
_BIH,1986,,
_BIH,1987,,
_BIH,1988,,
_BIH,1989,,
_BIH,1990,,
_BIH,1991,,
_BIH,1992,,
_BIH,1993,,
_BIH,1994,,
_BIH,1995,20.8000011708028,
_BIH,1996,85.9000026999354,
_BIH,1997,36.599999044174,
_BIH,1998,9.999996365058619,0
_BIH,1999,9.90000275925105,0
_BIH,2000,5.89999942118766,0
_BIH,2001,5.99999886428053,0
_BLR,1960,,
_BLR,1961,,
_BLR,1962,,
_BLR,1963,,
_BLR,1964,,
_BLR,1965,,
_BLR,1966,,
_BLR,1967,,
_BLR,1968,,
_BLR,1969,,
_BLR,1970,,
_BLR,1971,,
_BLR,1972,,
_BLR,1973,,
_BLR,1974,,
_BLR,1975,,
_BLR,1976,,
_BLR,1977,,
_BLR,1978,,
_BLR,1979,,
_BLR,1980,,
_BLR,1981,,
_BLR,1982,,
_BLR,1983,,
_BLR,1984,,
_BLR,1985,,
_BLR,1986,,
_BLR,1987,,
_BLR,1988,,
_BLR,1989,,
_BLR,1990,,
_BLR,1991,-1.2,
_BLR,1992,-9.599999999999991,
_BLR,1993,-7.60000000000001,
_BLR,1994,-11.7,
_BLR,1995,-10.4000000000001,
_BLR,1996,2.80000000000017,0
_BLR,1997,11.3999999999998,1
_BLR,1998,8.400000000000009,0
_BLR,1999,3.40000000000025,1
_BLR,2000,5.7999999999999,1
_BLR,2001,4.09999999999981,1
_BLZ,1960,,
_BLZ,1961,4.89227720240402,
_BLZ,1962,4.89265416203213,
_BLZ,1963,4.95642068564722,
_BLZ,1964,4.99986851575056,
_BLZ,1965,4.93053549729647,
