ccode,year,D1y,L1D1y,L2D1y,L3D1y,R_B,R_N,L1R_B,L2R_B,L3R_B,L1R_N,L2R_N,L3R_N,D1d_y,L1D1d_y,L2D1d_y,L3D1d_y,Fd1y,Fd2y,Fd3y,Fd4y,Fd5y,Fd6y
32,1934,0.060023371130228,0.0277212206274271,-0.0525418035686016,-0.0945261716842651,0,0,1,1,1,0,0,0,-0.0799999982118607,-0.0179999992251396,-0.0219999998807907,0.0520000010728836,0.0269419755786657,0.0172751490026712,0.0702924132347107,0.0573606714606285,,
32,1935,0.0269419755786657,0.060023371130228,0.0277212206274271,-0.0525418035686016,0,0,0,1,1,0,0,0,-0.0649999976158142,-0.0799999982118607,-0.0179999992251396,-0.0219999998807907,-0.00966682657599449,0.0433504395186901,0.0304186977446079,,,
32,1936,-0.00966682657599449,0.0269419755786657,0.060023371130228,0.0277212206274271,0,,0,0,1,0,0,0,0.100832998752594,-0.0649999976158142,-0.0799999982118607,-0.0179999992251396,0.0530172660946846,0.0400855243206024,,,,
32,1937,0.0530172660946846,-0.00966682657599449,0.0269419755786657,0.060023371130228,0,,0,0,0,,0,0,0.100832998752594,0.100832998752594,-0.0649999976158142,-0.0799999982118607,-0.0129317408427596,,,,,
32,1938,-0.0129317408427596,0.0530172660946846,-0.00966682657599449,0.0269419755786657,0,,0,0,0,,,0,0.0181050002574921,0.100832998752594,0.100832998752594,-0.0649999976158142,,,,,,
32,1946,0.0685336291790009,-0.0129317408427596,0.0530172660946846,-0.00966682657599449,,0,0,0,0,,,,,0.0181050002574921,0.100832998752594,0.100832998752594,0.0869935154914856,0.118521124124527,0.0787061750888824,0.0667466968297958,0.0838445276021957,0.0110851749777794
32,1947,0.0869935154914856,0.0685336291790009,-0.0129317408427596,0.0530172660946846,,0,,0,0,0,,,0.0153649998828769,,0.0181050002574921,0.100832998752594,0.0315276086330414,-0.00828734040260315,-0.0202468223869801,-0.00314898975193501,-0.0759083405137062,-0.0431663878262043
32,1948,0.0315276086330414,0.0869935154914856,0.0685336291790009,-0.0129317408427596,,0,,,0,0,0,,0.0504069998860359,0.0153649998828769,,0.0181050002574921,-0.0398149490356445,-0.0517744310200214,-0.0346765965223312,-0.107435949146748,-0.0746939927339554,-0.0531790554523468
32,1949,-0.0398149490356445,0.0315276086330414,0.0869935154914856,0.0685336291790009,,1,,,,0,0,0,-0.0127170002087951,0.0504069998860359,0.0153649998828769,,-0.0119594810530543,0.00513835158199072,-0.0676210001111031,-0.0348790474236012,-0.0133641120046377,0.0369548127055168
32,1950,-0.0119594810530543,-0.0398149490356445,0.0315276086330414,0.0869935154914856,,0,,,,1,0,0,-0.0176449995487928,-0.0127170002087951,0.0504069998860359,0.0153649998828769,0.0170978326350451,-0.0556615218520164,-0.0229195691645145,-0.00140463374555111,0.0489142909646034,0.058038093149662
